species,sci_name
alewife,Alosa pseudoharengus
bloater,Coregonus hoyi
deepwater sculpin,Myoxocephalus thompsonii
lake trout,Salvelinus namaycush
longnose dace,Rhinichthys cataractae
lake whitefish,Coregonus clupeaformis
mottled sculpin,Cottus bairdii
rainbow smelt,Osmerus mordax
round goby,Neogobius melanostomus
slimy sculpin,Cottus cognatus
spottail shiner,Notropis hudsonius
yellow perch,Perca flavescens
freshwater drum,Aplodinotus grunniens
gizzard shad,Dorosoma cepedianum
longnose sucker,Catostomus catostomus
walleye,Sander vitreus
white sucker,Catostomus commersonii
threespine stickleback,Gasterosteus aculeatus
ninespine stickleback,Pungitius pungitius
brown trout,Salmo trutta
golden shiner,Notemigonus crysoleucas
rainbow trout,Oncorhynchus mykiss
coho salmon,Oncorhynchus kisutch
shorthead redhorse,Moxostoma macrolepidotum
white perch,Morone americana
banded killifish,Fundulus diaphanus
channel catfish,Ictalurus punctatus
smallmouth bass,Micropterus dolomieu
brook silverside,Labidesthes sicculus
burbot,Lota lota
fathead minnow,Pimephales promelas
round whitefish,Prosopium cylindraceum
chinook salmon,Oncorhynchus tshawytscha
lake chub,Couesius plumbeus
atlantic salmon,Salmo salar
