rowname,elpd_diff,elpd,p_loo,looic,r2_loo,r2_marg,r2_cond
models_sub[[2]],0 (0),-19.29 (4.82),4.52 (0.85),38.58 (9.64),0.82,0.84 (0.02),0.84 (0.02)
models_sub[[1]],-0.37 (0.53),-19.66 (4.65),4.77 (0.82),39.32 (9.3),0.82,0.84 (0.02),0.84 (0.02)
models_sub[[4]],-0.6 (0.38),-19.89 (4.72),4.93 (0.84),39.78 (9.44),0.82,0.75 (0.16),0.84 (0.02)
models_sub[[3]],-1.19 (0.77),-20.49 (4.66),5.53 (0.88),40.97 (9.33),0.81,0.73 (0.18),0.84 (0.02)
models_sub[[5]],-45.22 (6.31),-64.52 (4.66),2.53 (0.49),129.03 (9.31),-0.05,0 (0),0.01 (0.01)
models_sub[[1]],0 (0),-52.76 (5.29),3.91 (0.83),105.52 (10.58),0.35,0.41 (0.08),0.42 (0.08)
models_sub[[3]],-0.91 (0.25),-53.67 (5.17),4.56 (0.9),107.34 (10.34),0.33,0.42 (0.13),0.42 (0.08)
models_sub[[2]],-4.85 (3.5),-57.6 (3.44),3.23 (0.45),115.21 (6.88),0.18,0.27 (0.1),0.28 (0.09)
models_sub[[4]],-5.34 (3.58),-58.1 (3.43),3.7 (0.56),116.2 (6.86),0.16,0.27 (0.15),0.28 (0.09)
models_sub[[5]],-11.76 (5.53),-64.52 (4.66),2.53 (0.49),129.03 (9.31),-0.05,0 (0),0.01 (0.01)
models_sub[[1]],0 (0),-31.65 (0.88),0.12 (0.01),63.3 (1.76),0.14,0.15 (0.1),0.16 (0.1)
models_sub[[3]],-0.08 (0.01),-31.73 (0.88),0.13 (0.01),63.46 (1.76),0.15,0.15 (0.11),0.17 (0.1)
models_sub[[2]],-1.05 (0.26),-32.7 (0.84),0.09 (0.01),65.4 (1.69),-0,0.04 (0.05),0.07 (0.06)
models_sub[[5]],-1.08 (0.35),-32.73 (0.86),0.06 (0.01),65.46 (1.73),-0.02,0 (0),0.01 (0.01)
models_sub[[4]],-1.09 (0.26),-32.74 (0.85),0.09 (0.01),65.48 (1.69),-0,0.04 (0.05),0.07 (0.06)
models_sub[[1]],0 (0),-169.11 (4.44),3.75 (0.63),338.23 (8.89),0.11,0.22 (0.09),0.22 (0.09)
models_sub[[3]],-0.45 (0.11),-169.57 (4.41),4.09 (0.67),339.14 (8.82),0.1,0.23 (0.11),0.23 (0.09)
models_sub[[5]],-3.84 (3.28),-172.96 (3.21),1.97 (0.23),345.91 (6.41),-0.05,0 (0),0 (0.01)
models_sub[[2]],-4.63 (3.41),-173.74 (3.4),2.99 (0.54),347.48 (6.8),-0.08,0.02 (0.02),0.03 (0.03)
models_sub[[4]],-4.94 (3.47),-174.05 (3.43),3.27 (0.64),348.1 (6.85),-0.1,0.02 (0.03),0.03 (0.03)
